Word,Answer
aahed,0
aalii,0
aargh,0
abaca,0
abaci,0
aback,1
abada,0
abaff,0
abaft,0
abaka,0
abamp,0
aband,0
abase,1
abash,0
abask,0
abate,1
abaue,0
abave,0
abaze,0
abbas,0
abbes,0
abbey,1
abbot,1
abdal,0
abdat,0
abdom,0
abeam,0
abear,0
abede,0
abele,0
abend,0
aberr,0
abets,0
abhor,1
abide,1
abidi,0
abied,0
abilo,0
abime,0
abkar,0
abled,1
abler,0
ables,0
ablet,0
ablow,0
abmho,0
abnet,0
abode,1
abody,0
abohm,0
aboil,0
aboma,0
aboon,0
abord,0
abort,1
abote,0
about,1
above,1
abray,0
abret,0
abrim,0
abrin,0
abris,0
absee,0
absey,0
absis,0
absit,0
abstr,0
abune,0
abura,0
abuse,1
abush,0
abuts,0
abuzz,0
abwab,0
abyed,0
abyes,0
abysm,0
abyss,1
acale,0
acana,0
acapu,0
acara,0
acari,0
acast,0
acate,0
accel,0
accoy,0
accts,0
accum,0
accur,0
accus,0
aceae,0
acean,0
acedy,0
acerb,0
acers,0
aceta,0
achar,0
ached,0
acher,0
aches,0
achoo,0
achor,0
acids,0
acidy,0
acier,0
acies,0
acing,0
acini,0
acity,0
ackee,0
ackey,0
aclys,0
acmes,0
acmic,0
acned,0
acnes,0
acock,0
acoin,0
acold,0
acone,0
acool,0
acorn,1
acost,0
acoup,0
acred,0
acrid,1
acron,0
acryl,0
acted,0
actin,0
actor,1
actos,0
actus,0
acute,1
acyls,0
adage,1
adagy,0
adapt,1
adati,0
adaty,0
adawe,0
adawn,0
adays,0
adcon,0
addax,0
addda,0
added,0
adder,0
addio,0
addle,0
addnl,0
adead,0
adeem,0
adeep,0
adeps,0
adept,1
adfix,0
adieu,0
adion,0
adios,0
adits,0
adjag,0
adlet,0
adman,0
admen,0
admin,1
admit,1
admix,0
admov,0
admrx,0
adnex,0
adobe,1
adobo,0
adopt,1
adore,1
adorn,1
adown,0
adoxy,0
adoze,0
adpao,0
adrad,0
adret,0
adrip,0
adrop,0
adrue,0
adsum,0
adult,1
adunc,0
adure,0
adusk,0
adust,0
adyta,0
adzer,0
adzes,0
aecia,0
aeger,0
aemia,0
aeons,0
aeric,0
aerie,0
aeron,0
aetat,0
aevia,0
aevum,0
aface,0
afara,0
afars,0
afear,0
affix,1
afgod,0
afire,1
aflat,0
afley,0
aflow,0
afoam,0
afoot,1
afore,0
afoul,1
afray,0
afret,0
afrit,0
afros,0
after,1
agada,0
again,1
agami,0
agamy,0
agape,1
agars,0
agasp,0
agast,0
agate,1
agaty,0
agaze,0
agend,0
agene,0
agent,1
agers,0
agete,0
agger,0
aggro,0
aggry,0
aggur,0
aghas,0
agile,1
aging,1
agios,0
agism,0
agist,0
aglee,0
aglet,0
agley,0
aglow,1
agmas,0
agnat,0
agnel,0
agnus,0
